,Centre_Name,Commodity_Name,Season,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
23,AGARTALA,Rice,Kharif,6.959999999999999,8.047368421052632,8.952380952380953,8.880434782608695,9.0,10.523809523809524,13.047619047619047,11.5,10.25,9.818181818181818,10.954545454545457,11.590909090909092,11.807692307692308,12.0,13.727272727272728,14.409090909090908,15.090909090909092,19.73913043478261,18.8,19.0,23.77423486,26.1564132,27.90104596,25.213215,25.349607,25.671467,26.109499,26.519789,26.848417,27.089031,27.260052,27.389463
24,AGARTALA,Rice,Rabi,7.133333333333333,7.620833333333334,8.447058823529412,8.36470588235294,8.345238095238095,10.31578947368421,12.409090909090908,11.295454545454543,10.05,9.557142857142855,10.454545454545457,11.454545454545457,11.295454545454543,12.045454545454543,12.88095238095238,14.590909090909092,15.38095238095238,18.15,18.13888888888889,19.0,23.77423486,26.1564132,27.90104596,24.991024,24.43409,24.471413,24.79145,25.179354,25.515423,25.752348,25.889017,25.949825
25,AGARTALA,Rice,Zaid,6.700498575,7.625,8.692857142857143,8.68125,8.6875,9.77777777777778,12.375,12.27777777777778,9.5,9.666666666666666,10.0,11.0,11.090909090909092,12.055555555555555,12.7,15.0,15.0,18.0,18.8125,19.0,23.77423486,26.1564132,27.90104596,22.74145,21.617191,21.815464,22.580431,23.446377,24.177877,24.702532,25.035046,25.225723
26,AGARTALA,Soya Oil (Packed),Kharif,23.9973227,26.73796401,29.78496603,32.72353992,35.24724248,40.62146189,42.61141497,44.39151471,46.13543412,48.2083951,50.11788658,52.08135362,54.39305861,57.74210043,61.67051205,67.28915663,61.84905660377358,59.42360097,74.64766484,84.4371134,85.16632246,93.0,84.72438947,88.813675,90.47291,93.80409,97.02352,100.140205,103.056816,105.776924,108.31406,110.684944
27,AGARTALA,Soya Oil (Packed),Rabi,23.9973227,26.73796401,29.78496603,32.72353992,35.24724248,40.62146189,42.61141497,44.39151471,46.13543412,48.2083951,50.11788658,52.08135362,54.39305861,57.74210043,61.67051205,60.0,59.18811881188119,58.0,74.64766484,84.4371134,85.16632246,88.91428571428571,89.61904761904762,87.97073,88.50353,90.431335,93.063774,95.94668,98.81466,101.53258,104.04222,106.325745
28,AGARTALA,Soya Oil (Packed),Zaid,23.9973227,26.73796401,29.78496603,32.72353992,35.24724248,40.62146189,42.61141497,44.39151471,46.13543412,48.2083951,50.11788658,52.08135362,54.39305861,57.74210043,61.67051205,67.28915663,60.47368421052632,59.42360097,74.64766484,84.4371134,85.16632246,84.20213434,90.0,89.74455,91.45587,93.89332,96.67205,99.502716,102.22177,104.74681,107.043884,109.10671
29,AGARTALA,Sunflower Oil (Packed),Kharif,25.84543241,28.79713918,32.07522742,35.23975766,37.95751579,43.74497613,45.88794308,47.80492038,49.68293534,51.91529294,53.97161133,56.08605562,58.57551501,62.18207538,66.41255515,72.46323529,67.62264150943396,67.04162309,84.21251988,92.1176549,97.62278158,94.78662519,93.76600854,91.090485,92.11127,94.4188,97.17836,99.93753,102.557304,105.00779,107.29787,109.44203
30,AGARTALA,Sunflower Oil (Packed),Rabi,25.84543241,28.79713918,32.07522742,35.23975766,37.95751579,43.74497613,45.88794308,47.80492038,49.68293534,51.91529294,53.97161133,56.08605562,58.57551501,62.18207538,66.41255515,72.46323529,58.0,58.0,84.21251988,92.1176549,97.62278158,94.78662519,93.76600854,91.72719,91.67705,93.21155,95.543564,98.2048,100.90089,103.47338,105.84945,108.00352
31,AGARTALA,Sunflower Oil (Packed),Zaid,25.84543241,28.79713918,32.07522742,35.23975766,37.95751579,43.74497613,45.88794308,47.80492038,49.68293534,51.91529294,53.97161133,56.08605562,58.57551501,62.18207538,66.41255515,72.46323529,68.0,67.04162309,84.21251988,92.1176549,97.62278158,94.78662519,93.76600854,93.99159,95.4207,97.791565,100.36995,102.911,105.297356,107.48163,109.452095,111.214966
32,AGARTALA,Tea_loose,Kharif,62.0,74.47368421052632,82.85714285714286,64.78260869565217,60.0,85.23809523809524,90.0,90.0,90.0,72.5,50.0,55.0,59.61538461538461,100.0,100.0,102.27272727272728,123.86363636363636,126.3377457,140.0,140.0,147.7162913,162.5174637,173.3573785,168.82646,168.43893,168.52328,169.22151,170.11844,171.0777,172.02345,172.89536,173.65518
